100 500
0 1 3
1 2 3
2 3 4
3 4 9
4 5 2
5 6 5
6 7 4
7 8 3
8 9 2
9 10 6
10 11 6
11 12 6
12 13 6
13 14 4
14 15 6
15 16 9
16 17 1
17 18 3
18 19 3
19 20 1
20 21 6
21 22 8
22 23 9
23 24 5
24 25 1
25 26 6
26 27 7
27 28 3
28 29 5
29 30 1
30 31 10
31 32 3
32 33 7
33 34 5
34 35 6
35 36 6
36 37 1
37 38 1
38 39 2
39 40 2
40 41 3
41 42 7
42 43 5
43 44 6
44 45 5
45 46 8
46 47 4
47 48 3
48 49 4
49 50 1
50 51 4
51 52 10
52 53 10
53 54 4
54 55 4
55 56 1
56 57 9
57 58 7
58 59 7
59 60 3
60 61 5
61 62 6
62 63 9
63 64 7
64 65 8
65 66 4
66 67 9
67 68 10
68 69 3
69 70 10
70 71 9
71 72 5
72 73 1
73 74 3
74 75 2
75 76 3
76 77 2
77 78 6
78 79 5
79 80 3
80 81 6
81 82 10
82 83 4
83 84 5
84 85 7
85 86 10
86 87 7
87 88 7
88 89 4
89 90 3
90 91 5
91 92 2
92 93 10
93 94 4
94 95 10
95 96 9
96 97 9
97 98 10
98 99 8
18 77 4
68 93 2
52 21 9
89 33 4
84 15 7
26 71 6
77 10 1
29 99 10
65 76 1
79 58 10
64 29 1
12 15 6
92 4 8
53 40 3
4 30 8
43 59 6
95 30 10
88 65 6
9 62 5
38 59 6
1 77 7
82 21 7
9 7 5
67 85 3
45 80 9
58 40 6
88 96 2
78 92 5
95 53 6
71 94 5
82 53 10
28 71 7
94 23 10
96 90 7
59 87 6
44 40 6
25 86 9
7 66 6
86 59 10
24 16 3
85 4 3
14 99 2
15 51 4
42 56 10
47 11 8
48 33 6
48 90 1
88 6 3
15 44 6
25 19 8
69 14 9
97 48 2
10 76 9
84 78 6
25 71 3
42 29 7
47 71 7
69 41 8
77 84 9
82 5 5
92 65 10
47 21 10
26 63 4
35 86 1
59 28 4
59 10 6
10 21 5
58 9 4
55 76 2
98 73 7
55 74 10
40 52 8
53 65 2
27 97 3
18 86 3
53 24 2
84 5 5
65 94 9
53 56 10
12 6 1
46 13 3
59 53 2
92 48 5
76 21 4
68 57 5
70 95 5
51 37 6
62 2 5
44 93 5
45 91 1
27 55 8
34 25 3
7 15 1
79 9 4
67 19 3
45 97 10
85 93 7
77 41 6
75 45 9
29 39 9
41 12 2
18 22 7
48 63 7
70 3 4
27 67 5
71 18 6
81 47 9
56 26 7
43 3 6
4 14 3
65 62 10
41 56 3
40 25 3
3 87 4
8 58 5
7 23 10
40 76 9
54 81 2
39 60 5
96 32 7
22 81 4
24 74 8
16 57 10
95 2 1
14 94 7
2 78 2
46 30 2
85 3 1
85 97 4
84 64 1
27 88 10
62 28 9
79 33 5
33 56 4
67 38 10
87 56 6
8 76 6
97 82 1
37 29 8
61 76 10
6 81 5
66 2 6
36 8 8
20 82 3
83 97 2
86 48 8
52 11 1
76 96 9
27 35 3
47 41 2
95 25 7
76 13 9
22 5 8
66 25 7
46 97 6
5 35 6
11 24 1
91 97 6
21 50 9
23 55 2
69 78 4
43 52 3
34 86 6
82 16 5
79 36 5
28 94 5
79 57 1
13 34 10
69 2 9
43 21 10
55 0 10
56 43 2
14 77 6
72 30 1
25 9 3
85 13 10
95 42 6
78 62 3
74 72 3
47 23 9
13 57 2
81 83 2
24 95 9
58 25 10
78 9 7
35 54 10
26 41 8
96 80 8
82 54 2
84 95 4
88 21 7
32 94 1
57 18 6
28 60 8
43 39 3
19 4 5
79 18 9
32 26 1
14 53 1
25 79 8
56 38 7
79 26 6
31 65 2
82 55 7
13 88 2
43 80 6
52 37 10
8 53 1
82 77 9
87 33 1
72 54 5
85 71 1
36 80 10
88 15 3
1 49 5
38 97 6
20 57 5
28 51 3
41 15 8
25 54 5
96 70 6
98 55 9
30 28 7
56 60 7
54 96 6
36 62 7
55 42 4
17 86 5
45 69 4
98 37 8
21 33 9
10 13 2
64 92 2
59 84 9
81 38 3
26 74 9
12 81 6
89 12 6
30 26 1
35 49 4
79 59 3
9 82 7
10 41 9
6 86 9
1 26 2
98 63 7
65 56 5
40 10 5
96 3 3
1 57 6
24 0 10
84 62 9
11 31 9
29 89 7
36 12 9
25 62 10
13 70 2
27 38 8
94 43 6
82 6 1
79 30 5
65 11 5
19 48 10
76 29 6
38 93 8
27 59 3
98 76 1
10 42 3
93 96 2
16 78 3
4 99 3
72 16 8
19 12 4
12 60 8
51 98 5
