20 100
0 1 4
1 2 2
2 3 7
3 4 7
4 5 5
5 6 5
6 7 2
7 8 3
8 9 2
9 10 8
10 11 8
11 12 8
12 13 8
13 14 6
14 15 3
15 16 6
16 17 8
17 18 2
18 19 3
2 11 8
14 16 10
10 17 5
5 19 8
2 19 9
1 15 8
12 2 9
11 15 10
16 11 4
17 3 2
7 14 2
6 16 7
11 18 4
5 18 7
13 2 1
6 10 5
7 1 4
8 14 7
4 2 1
15 13 3
7 10 4
11 13 8
4 0 4
15 2 8
15 10 4
10 18 4
18 6 9
3 13 1
9 0 4
9 2 4
5 9 8
0 12 2
12 5 10
0 6 1
8 11 10
1 16 3
0 19 1
16 2 8
14 3 2
4 9 7
1 6 4
16 13 9
17 14 4
5 7 6
0 5 8
19 1 4
0 10 4
18 2 8
4 13 10
1 11 5
16 8 1
14 19 9
7 19 2
14 0 1
9 18 5
17 2 4
16 10 2
3 15 9
11 5 1
3 10 1
5 8 4
19 10 7
4 10 10
17 19 4
17 9 10
17 12 4
17 6 7
8 2 1
15 12 3
13 7 3
17 15 2
8 18 4
15 9 4
18 13 3
19 15 4
6 19 5
16 9 10
0 16 9
7 12 7
17 4 9
17 11 10
