300 5000
0 1 1
1 2 5
2 3 7
3 4 4
4 5 9
5 6 5
6 7 2
7 8 9
8 9 10
9 10 4
10 11 1
11 12 7
12 13 2
13 14 1
14 15 8
15 16 2
16 17 10
17 18 2
18 19 5
19 20 4
20 21 3
21 22 7
22 23 10
23 24 3
24 25 8
25 26 6
26 27 4
27 28 8
28 29 3
29 30 7
30 31 9
31 32 9
32 33 9
33 34 7
34 35 8
35 36 3
36 37 8
37 38 1
38 39 3
39 40 7
40 41 3
41 42 10
42 43 10
43 44 4
44 45 8
45 46 9
46 47 7
47 48 1
48 49 8
49 50 1
50 51 3
51 52 5
52 53 7
53 54 6
54 55 1
55 56 8
56 57 10
57 58 8
58 59 3
59 60 8
60 61 4
61 62 3
62 63 4
63 64 4
64 65 4
65 66 3
66 67 8
67 68 5
68 69 3
69 70 9
70 71 7
71 72 7
72 73 10
73 74 2
74 75 2
75 76 3
76 77 8
77 78 7
78 79 5
79 80 6
80 81 1
81 82 3
82 83 8
83 84 2
84 85 1
85 86 10
86 87 7
87 88 10
88 89 3
89 90 4
90 91 9
91 92 8
92 93 10
93 94 4
94 95 1
95 96 5
96 97 2
97 98 8
98 99 1
99 100 10
100 101 8
101 102 10
102 103 5
103 104 1
104 105 9
105 106 2
106 107 1
107 108 3
108 109 4
109 110 6
110 111 6
111 112 3
112 113 2
113 114 5
114 115 6
115 116 2
116 117 6
117 118 6
118 119 1
119 120 8
120 121 9
121 122 3
122 123 7
123 124 9
124 125 2
125 126 7
126 127 5
127 128 5
128 129 8
129 130 6
130 131 5
131 132 8
132 133 5
133 134 1
134 135 2
135 136 7
136 137 4
137 138 9
138 139 9
139 140 10
140 141 2
141 142 6
142 143 4
143 144 5
144 145 10
145 146 3
146 147 3
147 148 5
148 149 4
149 150 3
150 151 4
151 152 5
152 153 10
153 154 10
154 155 7
155 156 3
156 157 8
157 158 9
158 159 8
159 160 4
160 161 2
161 162 6
162 163 1
163 164 4
164 165 6
165 166 10
166 167 9
167 168 7
168 169 2
169 170 9
170 171 4
171 172 1
172 173 5
173 174 3
174 175 4
