200 7500
0 1 7
1 2 10
2 3 7
3 4 1
4 5 2
5 6 4
6 7 7
7 8 1
8 9 3
9 10 10
10 11 6
11 12 8
12 13 9
13 14 9
14 15 1
15 16 6
16 17 2
17 18 10
18 19 8
19 20 9
20 21 10
21 22 5
22 23 10
23 24 3
24 25 1
25 26 3
26 27 3
27 28 2
28 29 10
29 30 5
30 31 2
31 32 2
32 33 6
33 34 7
34 35 8
35 36 7
36 37 6
37 38 4
38 39 6
39 40 6
40 41 5
41 42 1
42 43 6
43 44 6
44 45 9
45 46 4
46 47 7
47 48 2
48 49 5
49 50 3
50 51 10
51 52 5
52 53 3
53 54 10
54 55 7
55 56 3
56 57 4
57 58 9
58 59 2
59 60 3
60 61 8
61 62 2
62 63 6
63 64 7
64 65 4
65 66 5
66 67 10
67 68 1
68 69 1
69 70 3
70 71 5
71 72 7
72 73 3
73 74 8
74 75 2
75 76 9
76 77 7
77 78 1
78 79 8
79 80 2
80 81 3
81 82 7
82 83 2
83 84 1
84 85 2
85 86 2
86 87 7
87 88 2
88 89 8
89 90 5
90 91 6
91 92 9
92 93 8
93 94 8
94 95 8
95 96 1
96 97 4
97 98 7
98 99 7
99 100 4
100 101 9
101 102 9
102 103 7
103 104 7
104 105 10
105 106 4
106 107 7
107 108 3
108 109 4
109 110 6
110 111 10
111 112 8
112 113 8
113 114 7
114 115 10
115 116 2
116 117 10
117 118 5
118 119 3
119 120 3
120 121 1
121 122 4
122 123 2
123 124 8
124 125 5
125 126 5
126 127 2
127 128 1
128 129 1
129 130 2
130 131 4
131 132 1
132 133 1
133 134 2
134 135 3
135 136 10
136 137 6
137 138 7
138 139 2
139 140 7
140 141 2
141 142 7
142 143 1
143 144 9
144 145 5
145 146 10
146 147 8
147 148 6
148 149 6
149 150 4
150 151 1
151 152 4
152 153 8
153 154 2
154 155 9
155 156 6
156 157 6
157 158 10
158 159 6
159 160 4
160 161 6
161 162 2
162 163 4
163 164 4
164 165 1
165 166 10
166 167 5
167 168 8
168 169 4
169 170 5
170 171 1
171 172 7
172 173 7
173 174 1
174 175 7
175 176 10
176 177 10
177 178 7
178 179 5
179 180 6
180 181 8
181 182 7
182 183 1
183 184 5
184 185 4
185 186 8
186 187 3
187 188 1
188 189 3
189 190 8
190 191 4
191 192 4
192 193 1
193 194 9
194 195 9
195 196 10
196 197 10
197 198 8
198 199 1
24 81 3
44 63 9
147 134 7
15 107 4
2 75 4
103 91 1
93 129 8
176 55 3
157 55 10
148 105 3
176 129 10
151 154 5
51 7 10
123 8 9
24 162 6
190 183 3
122 20 7
169 5 8
164 134 5
11 82 10
71 142 10
72 9 6
136 51 7
125 120 7
79 105 7
149 1 3
119 173 3
161 35 10
38 49 4
5 38 4
28 139 7
75 133 10
172 21 7
12 105 2
36 174 9
65 125 4
171 185 1
117 102 4
191 101 9
160 106 3
94 122 10
54 60 3
115 32 9
182 53 2
49 31 8
25 152 4
102 123 5
144 33 5
164 72 8
176 160 10
35 42 1
146 48 3
49 154 9
175 76 4
4 27 2
9 52 8
100 98 2
194 46 9
177 10 1
68 101 5
4 182 10
58 128 8
28 121 2
82 96 4
74 156 5
97 122 7
80 26 3
107 7 6
79 112 8
117 4 7
186 0 1
35 190 4
8 18 3
78 43 8
71 117 10
40 82 6
188 114 9
79 184 6
133 137 8
170 49 7
46 62 9
85 146 8
32 24 3
21 192 2
134 184 10
66 4 8
8 165 10
75 51 4
6 73 9
29 103 8
13 105 2
97 131 7
87 144 1
56 10 1
11 172 1
120 180 7
178 7 8
51 35 5
35 45 10
74 168 2
73 184 9
82 33 2
178 120 6
66 176 6
170 139 1
151 76 5
59 98 1
18 153 10
135 166 7
96 92 8
65 83 2
185 83 2
26 52 4
37 34 5
97 101 6
63 4 2
155 185 4
15 33 7
49 98 3
123 45 9
118 186 10
120 116 2
159 94 8
138 122 8
98 171 7
186 140 1
41 47 10
3 25 4
45 72 4
2 99 1
12 8 4
70 80 4
179 121 10
168 189 10
167 100 9
104 86 5
74 79 5
132 34 8
